id,course_id,skill_level,skill_level_jp,purpose,purpose_jp,learn_info,learn_info_jp,outcome,outcome_jp,price,price_jp,price_hk,created_at,updated_at
11,3,Advanced,アドバンスド,"Refine your design process by creating detailed costume concepts with greater attention to functionality, aesthetics, and personality. You'll learn professional presentation techniques while developing unique visual identities that strengthen both the character and the story behind every design.",機能性、美学および人格へのより大きい関心と詳しい衣裳の概念の作成によってあなたの設計プロセスを精製しなさい。 すべてのデザインの背後にあるキャラクターとストーリーの両方を強化するユニークな視覚的アイデンティティを開発しながら、プロのプレゼンテーシ,"Refine your costume design process by developing detailed outfits with thoughtful styling, functional designs, cultural influences, and creative presentation. You'll produce polished costume concepts while strengthening your ability to create memorable characters with unique visual identities suitable for professional creative work.",思慮深いスタイリング、機能的なデザイン、文化的影響、創造的なプレゼンテーションで詳細な衣装を開発することによって、あなたの衣装 あなたは、プロの創造的な仕事に適したユニークな視覚的なアイデンティティを持つ思い出に残るキャラクターを作成する能力を強化しながら、洗練された衣装のコンセプトを生成します。,"By completing this level, you'll produce detailed costume concepts that reflect creativity, functionality, and professional presentation. Your designs will demonstrate stronger artistic consistency while showcasing unique visual identities suitable for illustration, games, and entertainment design.",このレベルを完了することによって、創造性、機能性、および専門の提示を反映する詳しい衣裳の概念を作り出す。 あなたの設計は実例、ゲームおよび催し物の設計のために適した独特な視覚アイデンティティを展示している間より強い功妙な一貫性を示す。,179,28640,1432,NULL,NULL
12,3,Expert,専門家,"Complete a professional costume design collection featuring multiple outfits, accessories, seasonal variations, and presentation sheets. This level focuses on creating production-ready artwork that demonstrates creativity, consistency, and a strong understanding of character styling for entertainment and digital media.",複数の衣装、アクセサリー、季節のバリエーション、プレゼンテーションシートを備えたプロの衣装デザインコレクションを完成させます。 このレベルでは、創造性、一貫性、エンターテイメントやデジタルメディアのためのキャラクタースタイリングの強い理解を示す生産準備ができたアートワークの作成に焦点を当てています。,"Complete a professional costume design collection featuring multiple outfits, accessories, seasonal variations, and presentation sheets. This level focuses on creating cohesive character styling projects that demonstrate creativity, consistency, visual storytelling, and production-ready presentation for entertainment and digital art portfolios.",複数の衣装、アクセサリー、季節のバリエーション、プレゼンテーションシートを備えたプロの衣装デザインコレクションを完成させます。 このレベルでは、創造性、一貫性、視覚的なストーリーテリング、エンターテイメントやデジタルアートポートフォリオのための生産準備ができたプレゼンテーシ,"At the end of this level, you'll independently develop comprehensive costume design collections featuring multiple outfits, accessories, and presentation sheets. You'll confidently create production-ready styling concepts that enhance character storytelling and strengthen your professional portfolio.",このレベルの終わりには、複数の衣装、アクセサリー、プレゼンテーションシートを備えた包括的な衣装デザインコレクションを独自に開発します。 キャラクターのストーリーテリングを強化し、プロのポートフォリオを強化する、プロダクション対応のスタイリングコンセプトを自信を持って作成できます。,299,47840,2392,NULL,NULL
13,4,Beginner,ビギナー,"Explore the exciting world of fantasy design by learning how to create imaginative creatures, magical beings, and original characters. You'll discover how shapes, proportions, anatomy, and storytelling work together to transform creative ideas into believable fantasy concepts suitable for illustrations and games.",想像力豊かな生き物、魔法の存在、オリジナルのキャラクターを作成する方法を学ぶことによって、ファンタジーデザインのエキサイティン 形、プロポーション、解剖学、ストーリーテリングがどのように連携して、創造的なアイデアをイラストやゲームに適した信じられないファンタジーの概念に変,"Learn the foundations of fantasy character creation by designing imaginative creatures, magical beings, and original concepts inspired by mythology and creative storytelling. You'll explore shapes, anatomy, textures, and silhouettes while developing the confidence to transform ideas into believable fantasy characters for illustrations and games.",想像力豊かな生き物、魔法の存在、神話や創造的なストーリーテリングに触発されたオリジナルのコンセプトを設計することによって、ファンタジーキャラクタクリエーションの基礎を学びましょう。 イラストやゲームのための信じられないほどのファンタジーキャラクターにアイデアを変換するための自信を開発しながら、形、解剖学、テクスチャ、シ,"Upon completing this level, you'll confidently create original fantasy creatures and magical characters using fundamental design principles, creative anatomy, and visual storytelling. You'll transform imaginative ideas into believable concepts while building a strong foundation for advanced creature design.",このレベルを完了すると、基本的なデザイン原則、創造的な解剖学、視覚的なストーリーテリングを使用して、オリジナルのファンタジー生き物や魔法のキャ 高度の創造物の設計のための強い基礎を造っている間信じられる概念に想像力豊かな考えを変形させる。,49,7840,392,NULL,NULL
14,4,Intermediate,中級,"Develop more complex fantasy characters by combining anatomy, textures, natural references, and creative worldbuilding. Through guided projects, you'll learn how to design creatures with unique personalities and visual appeal while strengthening your creative thinking and artistic confidence.",解剖学、テクスチャ、自然な参照、および創造的な世界構築を組み合わせることにより、より複雑なファンタジーキャラクターを開発します。 ガイド付きプロジェクトを通じて、あなたの創造的思考と芸術的自信を強化しながら、ユニークな個性と視覚的な魅力を持つ生き物を設計する方法を学,"Expand your fantasy design skills by creating more detailed creatures with improved anatomy, textures, movement, and environmental influences. Through guided projects, you'll learn how to develop unique fantasy concepts that combine creativity with thoughtful design and visual storytelling.",改良された解剖学、テクスチャ、動き、および環境の影響を持つより詳細な生き物を作成することによって、あなたのファ ガイド付きプロジェクトを通して、創造性と思慮深いデザインと視覚的なストーリーテリングを組み合わせたユニークなファンタジーコンセプトを開発する方法を学びます。,"After completing this level, you'll design more complex fantasy creatures with improved anatomy, textures, movement, and environmental influences. Your concepts will demonstrate stronger creativity, originality, and storytelling while reflecting thoughtful artistic development.",このレベルを完了すると、解剖学、テクスチャ、動き、環境への影響が改善された、より複雑なファンタジーの生き物を設計します。 あなたのコンセプトは、思慮深い芸術的発展を反映しながら、より強い創造性、独創性、ストーリーテリングを発揮します。,99,15840,792,NULL,NULL
15,4,Advanced,アドバンスド,"Master advanced creature design techniques by refining anatomy, movement, surface details, and storytelling. You'll experiment with multiple design variations while producing polished concept artwork that reflects professional creative workflows and demonstrates originality across a range of fantasy themes.",解剖学、動き、表面の詳細、およびストーリーテリングを精製することにより、高度なクリーチャーデザインテクニックをマスターします。 プロのクリエイティブワークフローを反映し、ファンタジーテーマの範囲にわたって独創性を実証し、洗練されたコンセプトアートワークを制作しながら、複数のデザインバリエーションを試してみましょう。,"Master advanced creature design by refining anatomy, proportions, materials, movement, and presentation techniques. You'll explore multiple design variations while producing polished fantasy concept artwork that demonstrates originality, technical skill, and professional creative development.",解剖学、比率、材料、動き、および提示の技術を精製することによってマスターの高度の創造物の設計。 独創性、技術的な技術、および専門の創造的な開発を示す磨かれた想像の概念のアートワークを作り出している間多数の設計変化を探検する。,"By the end of this level, you'll create polished fantasy concept artwork featuring refined creature designs, advanced anatomy, and professional presentation. You'll confidently develop imaginative concepts suitable for games, comics, animation, and digital entertainment projects.",このレベルの終わりまでに、洗練されたクリーチャーのデザイン、高度な解剖学、プロのプレゼンテーションを特徴とする洗練されたファンタジーコンセプトアートワークを作成します。 ゲーム、コミック、アニメーション、デジタルエンターテインメントプロジェクトに適した想像力豊かなコンセプトを自信を持って開発します。,179,28640,1432,NULL,NULL
16,4,Expert,専門家,"Create a complete fantasy creature project from research and concept sketches to polished presentation artwork. This level encourages independent creative decision-making while helping you build portfolio-quality designs that showcase your imagination, technical ability, and visual storytelling skills.",研究やコンセプトスケッチから洗練されたプレゼンテーションアートワークまで、完全なファンタジークリーチャープロジェクトを作成します。 このレベルは、独立した創造的な意思決定を促進しながら、あなたの想像力、技術的能力、視覚的なストーリーテリングのスキルを披露するポートフォリオ品質のデザインを構築するのに役立ちます。,"Complete a fully developed fantasy creature project from research and early sketches to polished presentation artwork. This level challenges you to combine creativity, storytelling, anatomy, and professional workflows while producing portfolio-quality designs suitable for games, comics, animation, and entertainment media.",研究や初期のスケッチから洗練されたプレゼンテーションアートワークまで、完全に開発されたファンタジークリーチャープロジェクトを完了します。 このレベルでは、ゲーム、コミック、アニメーション、エンターテイメントメディアに適したポートフォリオ品質のデザインを作成しながら、創造性、ストーリーテリング、解剖学、プロのワークフローを組み合わせることができます。,"Successfully completing this level enables you to produce complete fantasy creature projects from research and concept sketches to final presentation artwork. You'll demonstrate professional creative workflows, strong storytelling abilities, and portfolio-quality design skills.",このレベルを正常に完了すると、研究やコンセプトスケッチから最終的なプレゼンテーションアートワークまで、完全なファンタジークリーチャープロジェクトを作成することができます。 プロのクリエイティブなワークフロー、強力なストーリーテリング能力、ポートフォリオ品質のデザインスキルを発揮します。,299,47840,2392,NULL,NULL
17,5,Beginner,ビギナー,"Learn how professional concept artists transform ideas into compelling visual designs through creative research, sketching, and experimentation. This level introduces brainstorming techniques, silhouette exploration, shape language, and visual development while helping you communicate ideas clearly through concept art.",創造的な研究、スケッチ、実験を通じて、プロのコンセプトアーティストがアイデアを説得力のあるビジュアルデザインに変換する方法を学びます。 このレベルでは、コンセプトアートを通じてアイデアを明確に伝えるのを助けながら、ブレーンストーミング技術、シルエット探査、形状言語、,"Discover how professional concept artists develop creative ideas through research, sketching, brainstorming, and visual exploration. You'll learn the foundations of concept development while creating simple character concepts that communicate ideas clearly and establish a strong creative workflow.",専門の概念の芸術家が研究、スケッチ、ブレーンストーミング、および視覚調査によって創造的な考えをいかに開発するか発見しなさい。 アイデアを明確に伝え、強力な創造的なワークフローを確立するシンプルなキャラクターコンセプトを作成しながら、コンセプト開発の基礎を学びます。,"Upon completing this level, you'll confidently transform creative ideas into clear visual concepts through research, sketching, and design exploration. You'll understand the foundations of concept art while developing a structured workflow that supports stronger creative thinking.",このレベルを完了すると、あなたは自信を持って研究、スケッチ、および設計探査を通じて明確な視覚的な概念に創造的なアイデアを変換します。 より強い創造的思考を支える構造化されたワークフローを開発している間概念芸術の基礎を理解する。,49,7840,392,NULL,NULL
18,5,Intermediate,中級,"Strengthen your creative workflow by exploring design iterations, problem-solving, and concept refinement. You'll learn how to evaluate ideas, improve visual communication, and create stronger concept artwork through structured creative processes inspired by professional production environments.",デザインの反復、問題解決、コンセプトの洗練を探索することで、創造的なワークフローを強化します。 プロの制作環境に触発された構造化されたクリエイティブプロセスを通じて、アイデアを評価し、ビジュアルコミュニケーションを改善し、より強力なコンセプトアートワークを作成する方法を学びます。,"Strengthen your concept art process by exploring design iterations, silhouette exploration, shape language, and creative problem-solving. You'll learn how to evaluate multiple ideas, refine visual communication, and create stronger concept artwork that supports storytelling and entertainment design.",デザインの反復、シルエットの探索、形状言語、創造的な問題解決を探索することによって、コンセプトアートプロセスを強化します。 複数のアイデアを評価し、ビジュアルコミュニケーションを洗練し、ストーリーテリングとエンターテイメントデザインをサポートするより強力なコンセプ,"After completing this level, you'll confidently refine concepts through multiple design iterations, silhouette exploration, and creative problem-solving. Your artwork will communicate ideas more effectively while demonstrating stronger visual development and thoughtful artistic decision-making.",このレベルを完了すると、複数のデザイン反復、シルエット探索、創造的な問題解決を通じて自信を持って概念を洗練します。 より強い視覚開発および思慮深い功妙な意思決定を示している間あなたのアートワークは考えをより効果的に伝達し合う。,99,15840,792,NULL,NULL
19,5,Advanced,アドバンスド,"Develop professional-quality concept art by refining compositions, presentations, design consistency, and storytelling. Larger creative projects help you strengthen your artistic voice while producing polished concept sheets that demonstrate technical ability, creativity, and thoughtful visual development.",構成、提示、設計一貫性、および物語を精製することによって専門質の概念の芸術を開発しなさい。 より大きい創造的なプロジェクトは技術的な能力、創造性および思慮深い視覚開発を示す磨かれた概念シートを作り出している間あなたの功妙な声を増強するのを助ける。,"Refine your concept art skills by developing polished presentations, detailed concept sheets, and consistent visual designs. Through larger creative projects, you'll strengthen your artistic decision-making while producing professional-quality concept artwork suitable for portfolio development and creative industries.",絞り込みをコンセプトアート技術の開発による研磨発表、詳細なコンセプトシート、一貫した視覚デザインです。 より大きく創造的なプロジェクトによって、有価証券の開発および創造的な企業のために適した専門質の概念のアートワークを作り出している間あなたの功妙な意思決定を増強する。,"By the end of this level, you'll produce polished concept sheets with refined compositions, professional presentation, and consistent visual quality. You'll confidently apply advanced concept art techniques while creating portfolio-worthy artwork suitable for creative industries.",このレベルの終わりまでに、精製された構成、専門の提示および一貫した視覚質の磨かれた概念シートを作り出す。 だ自信高度のコンセプトアートの技術を創出ポートフォリオ価値の作品に適したクリエイティブ産業の,179,28640,1432,NULL,NULL
20,5,Expert,専門家,"Complete a full concept art project from initial research to polished presentation using industry-inspired workflows. This level focuses on creative independence, professional presentation, and portfolio-ready artwork that showcases your ability to solve design challenges through compelling visual concepts.",業界にインスパイアされたワークフローを使用して、最初の研究から洗練されたプレゼンテーションまで、完全なコンセプトアートプロジェクトを完了します。 このレベルでは、創造的な独立性、プロのプレゼンテーション、魅力的なビジュアルコンセプトを通じてデザインの課題を解決する能力を紹介するポー,"Complete a comprehensive concept art project that demonstrates your ability to transform research and creative ideas into polished visual designs. This level focuses on professional presentation, independent thinking, and industry-inspired workflows while preparing you to produce portfolio-ready concept artwork with confidence.",洗練されたビジュアルデザインに研究や創造的なアイデアを変換するためにあなたの能力を実証する包括的なコンセプトアートプロジ このレベルでは、プロのプレゼンテーション、独立した思考、業界に触発されたワークフローに焦点を当て、自信を持ってポートフォリオ対応のコンセプトアートワークを作成する準備をします。,"Successfully completing this level enables you to independently develop complete concept art projects from research to final presentation. You'll demonstrate professional creative workflows, strong visual communication, and the ability to solve design challenges through polished portfolio-quality concept artwork.",成このレベルで独自開発による完全コンセプトアートプロジェクト研究最終発表した。 だけを専門クリエイティブなワークフロー、強力なビジュアルコミュニケーションの設計上の課題を克服するため研磨を通じてポートフォリオ-ステップでクオリティコンセプトに制作していました。,299,47840,2392,NULL,NULL
